match,name,win
483,DarStar2,0
487,DarStar2,1
487,XnIcRaM_,0
493,DarStar2,1
493,XnIcRaM_,0
498,DarStar2,1
498,XnIcRaM_,0
505,Ag_V,1
505,bionOOb,0
510,Ag_V,1
510,bionOOb,0
512,ᨏyŕöalFW5,1
512,ScreamsFromAnus,0
514,gidi110,1
514,bionOOb,0
517,gidi110,1
517,bionOOb,0
523,bionOOb,1
523,gidi110,0
529,ScreamsFromAnus,1
529,gidi110,0
541,Astem,1
541,ᨏyŕöalFW5,0
546,Astem,1
546,ᨏyŕöalFW5,0
549,Astem,1
549,ᨏyŕöalFW5,0
553,Astem,1
553,ᨏyŕöalFW5,0
563,pennsylvania-,1
563,a1f3r,0
564,pennsylvania-,1
564,a1f3r,0
623,FrankØ.,1
623,oi_,0
625,FrankØ.,1
625,FastbreaК,0
778,OWmasterrace,1
778,Karosz,0
811,ᨏyŕöalFW5,1
811,SL_31,0
819,ᨏyŕöalFW5,1
819,SL_31,0
830,ᨏyŕöalFW5,1
830,SL_31,0
849,ᨏyŕöalFW5,1
849,SL_31,0
853,ScreamsFromAnus,1
853,Sarek91,0
860,Sarek91,1
860,ScreamsFromAnus,0
895,Geetee,1
895,Hu5ky_,0
943,phantaśi,1
943,Geetee,0
945,phantaśi,1
945,Geetee,0
947,phantaśi,1
947,Geetee,0
994,s1aY,1
994,OWmasterrace,0
1010,Nons3ns3,1
1010,timiimit,0
1055,Dad_Vitas,1
1055,M-ac,0
1060,Dad_Vitas,1
1060,M-ac,0
1132,pOwNx,1
1132,BOSSBABOS,0
1139,pOwNx,1
1139,BOSSBABOS,0
1146,pOwNx,1
1146,BOSSBABOS,0
1155,Demon1_,1
1155,PaWwEeZy,0
1158,PaWwEeZy,1
1158,Demon1_,0
1168,PaWwEeZy,1
1168,Demon1_,0
1173,phantaśi,1
1173,Demon1_,0
1176,phantaśi,1
1176,Demon1_,0
1211,ᨏyŕöalFW5,1
1211,8SlaiN8,0
1218,ᨏyŕöalFW5,1
1218,8SlaiN8,0
1225,ᨏyŕöalFW5,1
1225,8SlaiN8,0
1232,Astem,1
1232,ᨏyŕöalFW5,0
1237,Astem,1
1237,ᨏyŕöalFW5,0
1242,Astem,1
1242,ᨏyŕöalFW5,0
1249,Astem,1
1249,ᨏyŕöalFW5,0
1324,EnfeebledMind,1
1324,Twillig,0
1327,EnfeebledMind,1
1327,Twillig,0
1329,EnfeebledMind,1
1329,Beat_Slayer,0
1388,rrreav,1
1388,pizza_microwave,0
1389,rrreav,1
1389,pizza_microwave,0
1392,rrreav,1
1392,pizza_microwave,0
1447,Nons3ns3,1
1447,webfaster,0
1453,Nons3ns3,1
1453,pOwNx,0
1459,pOwNx,1
1459,Nons3ns3,0
1473,Astem,1
1473,pOwNx,0
1478,Astem,1
1478,pOwNx,0
1484,Astem,1
1484,pOwNx,0
1509,pennsylvania-,1
1509,a1f3r,0
1515,pennsylvania-,1
1515,a1f3r,0
1526,oakzmoakz,1
1526,ᨏyŕöalFW5,0
1528,Astem,1
1528,pizza_microwave,0
1531,Astem,1
1531,pizza_microwave,0
1535,Astem,1
1535,pizza_microwave,0
1543,Astem,1
1543,ᨏyŕöalFW5,0
1562,mattackUY,1
1562,M3T4L||mll,0
1565,M3T4L||mll,1
1565,mattackUY,0
1657,Astem,1
1657,pizza_microwave,0
1660,Astem,1
1660,pizza_microwave,0
1662,Astem,1
1662,pizza_microwave,0
1663,pizza_microwave,1
1663,FrankØ.,0
1678,Astem,1
1678,Nons3ns3,0
1682,Astem,1
1682,Nons3ns3,0
1693,Astem,1
1693,Nons3ns3,0
1699,Nons3ns3,1
1699,pOwNx,0
1700,pOwNx,1
1700,Nons3ns3,0
1725,The_Ficiente,1
1725,I_Gunner_I,0
1732,The_Ficiente,1
1732,I_Gunner_I,0
1740,YT_CreppaGer,1
1740,Dope_Chan_Nudel,0
1744,YT_CreppaGer,1
1744,Dope_Chan_Nudel,0
1749,YT_CreppaGer,1
1749,Dope_Chan_Nudel,0
1754,YT_CreppaGer,1
1754,Dope_Chan_Nudel,0
1775,pennsylvania-,1
1775,MiKEYvike,0
1783,ᨏyŕöalFW5,1
1783,ScreamsFromAnus,0
1784,pennsylvania-,1
1784,z1reael-,0
1790,ᨏyŕöalFW5,1
1790,ScreamsFromAnus,0
1791,pennsylvania-,1
1791,z1reael-,0
1795,ᨏyŕöalFW5,1
1795,ScreamsFromAnus,0
1796,pennsylvania-,1
1796,z1reael-,0
1800,pennsylvania-,1
1800,z1reael-,0
1803,pennsylvania-,1
1803,z1reael-,0
1804,ᨏyŕöalFW5,1
1804,ScreamsFromAnus,0
1807,pennsylvania-,1
1807,z1reael-,0
1810,ᨏyŕöalFW5,1
1810,ScreamsFromAnus,0
1828,rrreav,1
1828,Astem,0
1831,rrreav,1
1831,Astem,0
1897,ExitNextRight,1
1897,HuskyT_T,0
1898,HuskyT_T,1
